"date","operator","sio"
"dec-20","telstra","11728"
"jun-21","telstra","11773"
"dec-21","telstra","11889"
"jun-22","telstra","12079"
"dec-22","telstra","12292"
"jun-23","telstra","12440"
"dec-20","optus","7005"
"jun-21","optus","8209"
"dec-21","optus","8224"
"jun-22","optus","8455"
"dec-22","optus","8546"
"jun-23","optus","8545"
"dec-20","tpg","4883"
"jun-21","tpg","4769"
"dec-21","tpg","4694"
"jun-22","tpg","4836"
"dec-22","tpg","4965"
"jun-23","tpg","5009"
"dec-20"," total","27012 "
"jun-21"," total","27092 "
"dec-21"," total","27284 "
"jun-22"," total","28018 "
"dec-22"," total","28682 "
"jun-23"," total","29146 "
